PDB ID
148L
15C8
1A0Q
1A22
1A2X
1A5F
1A6U
1A6W
1A7O
1A7P
1A7Q
1ABR
1ACB
1AE6
1AJ7
1AJS
1AKS
1ALL
1ALZ
1AOK
1APH
1APT
1APV
1AQ7
1AQK
1ARO
1AS4
1ATN
1AUI
1AUT
1AVW
1AWQ
1AXT
1AY1
1AY7
1AYB
1AYC
1B07
1B0N
1B2W
1B34
1B4J
1B8M
1BAF
1BBD
1BC5
1BDJ
1BE9
1BH9
1BHF
1BHH
1BIQ
1BJ3
1BJO
1BJR
1BLX
1BM2
1BM3
1BMB
1BMQ
1BND
1BP3
1BPL
1BQM
1BQQ
1BRB
1BRC
1BUH
1BUN
1BVN
1BW8
1BW9
1BXG
1BXI
1BXX
1BY5
1BZ7
1BZH
1BZX
1C0F
1C0G
1C12
1C1B
1C1D
1C1E
1C1X
1C1Y
1C3A
1C5C
1C5M
1C8O
1CC1
1CDM
1CE7
1CF8
1CFQ
1CGI
1CI6
1CIQ
1CK0
1CKA
1CKB
1CKN
1CLO
1CLV
1CLY
1CLZ
1CM1
1CO7
1CP9
1CPB
1CR9
1CSE
1CWD
1CWO
1CXZ
1CYN
1CZI
1D0D
1D4T
1D4X
1D5D
1D5H
1D5I
1D5S
1D6W
1D9I
1DBB
1DDV
1DEJ
1DF0
1DFB
1DFJ
1DJ7
1DKF
1DL7
1DLF
1DLO
1DOA
1DOJ
1DOW
1DP5
1DPJ
1DQD
1DQL
1DQM
1DS6
1DSF
1DTD
1E3A
1E44
1E6I
1E6O
1E8N
1E96
1E9O
1E9P
1E9Q
1EAP
1EE5
1EEN
1EEO
1EET
1EFV
1EG4
1EGP
1EJ4
1EJA
1EJY
1ELR
1EMT
1EMU
1EOJ
1EOL
1EPL
1EPM
1EQY
1ER8
1ES0
1ETR
1EUD
1EUV
1EVH
1EXU
1F0C
1F1W
1F2S
1F2T
1F34
1F3V
1F45
1F47
1F4X
1F5R
1F7Z
1F8A
1F8T
1FAI
1FAP
1FAX
1FGL
1FGN
1FGV
1FH5
1FIG
1FIW
1FIZ
1FK9
1FKO
1FLE
1FLR
1FM0
1FM2
1FOR
1FPR
1FQ1
1FRF
1FS0
1FT1
1FXH
1FXW
1FY8
1FYN
1G0V
1G0Y
1G1F
1G1G
1G2L
1G37
1G4U
1G7C
1GA4
1GA6
1GAF
1GAG
1GDU
1GEC
1GFW
1GGB
1GGP
1GHD
1GHF
1GI8
1GIG
1GJ7
1GK9
1GL0
1GL4
1GRN
1GUA
1GVK
1GVU
1GVX
1GZW
1H1V
1H2A
1H2R
1H2T
1H2V
1H33
1H3P
1H9H
1H9I
1H9L
1H9O
1H9S
1HAG
1HAV
1HAX
1HAZ
1HCG
1HCN
1HDM
1HE8
1HES
1HNI
1HNV
1HPG
1HQU
1HTR
1HWM
1HX1
1I1Q
1I31
1I3G
1I3Z
1I4E
1I73
1I9J
1IAO
1IAR
1IAU
1IBG
1IGI
1IGM
1II8
1IID
1IJE
1IKX
1IL1
1IND
1IQ5
1IQG
1IQW
1IRA
1IT9
1ITB
1IWQ
1IZE
1J19
1J2J
1J2X
1J4X
1J71
1JAN
1JAP
1JAT
1JD5
1JD6
1JDH
1JET
1JFQ
1JGL
1JGU
1JGV
1JIW
1JK0
1JKG
1JKH
1JLF
1JLT
1JMA
1JMT
1JN6
1JNL
1JPT
1JQL
1JRR
1JRT
1JSH
1JSM
1JTD
1JTT
1JV5
1JW0
1JWI
1JX9
1JYR
1K3A
1K4W
1K6Q
1K7D
